Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador
1010,3.03,95.9,93.1,965.0,4.16,3.32,3.34,3.87,3.6,4.6,2019.0,38.0,44.0
1011,2.42,79.8,82.8,935.0,4.84,4.98,3.43,4.23,13.7,16.0,2021.0,38.0,46.0
1012,2.12,75.1,78.3,972.0,4.93,3.38,3.16,3.71,8.9,3.6,2023.0,38.0,48.0
1013,2.43,75.6,96.2,816.0,3.42,4.2,3.15,4.65,8.6,3.6,2025.0,38.0,50.0
1014,2.54,89.7,78.8,957.0,4.02,3.63,3.9,4.04,4.1,11.9,2027.0,39.0,0.0
1015,2.3,95.1,86.4,973.0,4.96,3.28,3.32,3.71,3.9,6.3,2029.0,39.0,2.0
1016,2.82,98.7,84.9,1026.0,4.23,4.59,3.32,4.39,8.6,7.1,2031.0,39.0,4.0
1017,2.77,89.6,99.5,914.0,3.2,3.01,3.95,3.36,9.1,10.3,2033.0,39.0,6.0
1018,3.24,70.6,76.7,968.0,4.23,4.16,4.01,3.16,7.2,14.4,2035.0,39.0,8.0
1019,3.37,72.8,85.9,989.0,4.11,3.01,4.31,4.81,10.9,8.7,2037.0,39.0,10.0
1020,2.57,71.3,91.3,945.0,3.58,4.0,3.17,4.84,8.4,17.8,2039.0,39.0,12.0
1021,2.08,71.6,87.4,835.0,4.39,4.99,3.22,4.08,10.6,9.1,2041.0,39.0,14.0
1022,3.46,76.9,88.8,882.0,3.56,3.07,4.04,4.15,13.5,9.1,2043.0,39.0,16.0
1023,3.3,77.4,74.5,884.0,3.74,4.55,4.69,4.78,6.3,3.3,2045.0,39.0,18.0
1024,3.25,87.8,85.4,1064.0,3.9,3.58,3.11,4.67,15.2,9.7,2047.0,39.0,20.0
1025,2.83,89.4,89.5,951.0,3.32,3.65,3.68,4.15,7.6,4.8,2049.0,39.0,22.0
1026,3.08,97.1,81.7,944.0,4.89,4.79,3.77,4.72,3.7,5.3,2051.0,39.0,24.0
1027,2.21,99.9,85.0,987.0,3.31,3.87,3.29,3.33,3.3,13.3,2053.0,39.0,26.0
1028,2.74,94.0,97.8,1067.0,3.15,4.56,3.18,4.71,17.5,14.4,2055.0,39.0,28.0
1029,3.07,96.5,73.1,921.0,4.89,4.84,3.73,3.48,7.0,15.3,2057.0,39.0,30.0
1030,2.83,97.4,95.5,1034.0,4.02,4.02,4.23,4.16,5.9,4.2,2059.0,39.0,32.0
1031,2.4,71.0,79.4,1097.0,4.31,3.87,4.06,3.35,6.1,16.7,2061.0,39.0,34.0
1032,3.21,90.3,93.9,965.0,4.48,4.43,4.98,3.67,5.6,11.3,2063.0,39.0,36.0
1033,2.26,80.7,90.5,980.0,4.23,4.86,4.64,4.44,9.3,6.0,2065.0,39.0,38.0
1034,3.31,90.0,87.0,904.0,3.97,3.16,3.16,3.77,16.7,16.6,2067.0,39.0,40.0
1035,2.38,84.3,93.8,944.0,4.53,4.3,3.51,3.46,9.1,15.6,2069.0,39.0,42.0
1036,2.08,88.2,78.4,936.0,3.08,4.95,4.77,3.19,4.4,16.7,2071.0,39.0,44.0
1037,2.92,98.1,93.5,1024.0,3.71,4.47,3.25,3.23,5.7,14.1,2073.0,39.0,46.0
1038,2.61,70.7,94.2,1044.0,4.95,4.26,3.0,4.85,7.1,13.6,2075.0,39.0,48.0
1039,2.61,98.2,88.6,824.0,4.34,3.21,3.86,3.29,15.7,14.6,2077.0,39.0,50.0
1040,2.25,72.2,95.9,854.0,3.18,3.11,3.5,4.8,13.0,5.6,2079.0,40.0,0.0
1041,2.29,82.2,82.9,864.0,3.61,4.69,3.4,3.28,9.8,10.3,2081.0,40.0,2.0
1042,2.69,72.0,95.8,935.0,3.17,3.83,4.54,3.02,11.0,3.0,2083.0,40.0,4.0
1043,2.04,93.1,75.5,977.0,3.22,4.56,3.85,3.87,10.6,9.3,2085.0,40.0,6.0
1044,3.24,93.2,81.4,1078.0,4.63,4.7,4.71,3.72,8.1,12.3,2087.0,40.0,8.0
1045,2.27,77.1,92.4,914.0,4.6,3.12,4.52,4.75,14.4,9.4,2089.0,40.0,10.0
1046,2.33,87.9,75.6,954.0,4.75,4.46,3.05,3.45,5.6,6.9,2091.0,40.0,12.0
1047,3.05,81.8,95.6,1047.0,4.28,4.96,3.11,4.39,8.5,16.9,2093.0,40.0,14.0
1048,3.21,85.0,93.2,1020.0,4.0,4.57,3.25,4.15,10.4,14.9,2095.0,40.0,16.0
1049,2.73,93.5,88.2,973.0,4.18,3.98,3.36,4.88,11.3,15.6,2097.0,40.0,18.0
1050,2.09,87.2,94.4,1038.0,3.95,4.97,4.49,3.38,8.4,11.0,2099.0,40.0,20.0
1051,2.05,90.4,95.9,1066.0,4.48,3.81,4.96,3.99,4.9,5.8,2101.0,40.0,22.0
1052,2.76,79.6,75.4,1000.0,4.92,4.39,3.82,3.99,15.3,12.6,2103.0,40.0,24.0
1053,2.34,93.2,70.0,803.0,4.76,4.58,3.62,4.32,8.7,9.3,2105.0,40.0,26.0
1054,2.93,93.9,96.1,812.0,3.69,4.68,3.82,4.87,17.2,7.1,2107.0,40.0,28.0
1055,2.65,84.6,99.1,863.0,3.43,3.41,3.48,4.92,4.4,4.7,2109.0,40.0,30.0
1056,3.27,83.4,99.8,975.0,3.81,4.72,4.97,4.9,13.2,12.3,2111.0,40.0,32.0
1057,2.38,85.1,73.3,887.0,4.53,4.21,3.19,3.28,14.3,10.3,2113.0,40.0,34.0
1058,3.18,89.6,75.7,1071.0,4.22,4.83,3.41,4.63,17.9,13.4,2115.0,40.0,36.0
1059,2.45,71.8,91.7,963.0,4.63,4.88,3.42,3.91,3.4,6.5,2117.0,40.0,38.0
1060,3.3,87.4,84.1,861.0,4.93,4.58,4.82,3.03,9.3,3.4,2119.0,40.0,40.0
1061,2.99,81.8,94.8,1024.0,4.76,4.12,4.17,3.78,5.3,16.9,2121.0,40.0,42.0
1062,2.57,91.5,73.0,949.0,3.11,3.12,3.14,3.71,7.8,9.2,2123.0,40.0,44.0
1063,2.59,97.9,82.2,828.0,4.27,4.61,4.04,3.85,15.0,14.6,2125.0,40.0,46.0
1064,2.72,79.5,87.8,1079.0,3.96,4.31,3.43,3.58,6.9,16.0,2127.0,40.0,48.0
1065,2.53,81.4,94.9,974.0,4.22,3.56,4.75,4.03,3.1,16.1,2129.0,40.0,50.0
1066,2.65,82.4,97.5,975.0,3.86,4.19,4.04,4.89,14.2,10.6,2131.0,41.0,0.0
1067,3.28,95.4,71.9,1013.0,3.19,3.2,3.86,3.41,6.0,11.1,2133.0,41.0,2.0
1068,2.45,87.7,91.6,923.0,3.84,3.92,3.69,4.82,15.9,8.3,2135.0,41.0,4.0
1069,2.21,95.5,86.4,816.0,3.4,3.65,3.56,4.02,10.8,3.7,2137.0,41.0,6.0
1070,3.05,87.8,99.6,1034.0,3.95,4.8,4.07,4.76,12.5,10.0,2139.0,41.0,8.0
1071,2.99,89.4,87.9,1053.0,4.48,4.76,3.73,4.39,11.2,6.5,2141.0,41.0,10.0
1072,3.45,77.0,96.2,877.0,4.44,4.35,3.1,3.89,9.3,13.2,2143.0,41.0,12.0
1073,2.69,89.0,91.2,930.0,4.17,3.68,4.29,4.03,8.3,3.1,2145.0,41.0,14.0
1074,3.07,72.4,88.6,991.0,4.55,4.99,4.1,3.11,11.2,16.6,2147.0,41.0,16.0
1075,2.7,99.2,96.5,1019.0,3.91,3.56,3.02,4.76,9.9,3.8,2149.0,41.0,18.0
1076,2.45,91.7,88.7,1041.0,3.28,3.22,3.56,4.35,3.7,3.9,2151.0,41.0,20.0
1077,3.14,89.3,88.6,896.0,4.77,3.81,4.47,4.43,7.0,7.2,2153.0,41.0,22.0
1078,3.45,99.6,76.5,1070.0,4.1,4.41,4.53,4.24,9.7,13.6,2155.0,41.0,24.0
1079,2.22,89.2,86.6,947.0,3.08,3.08,4.47,3.71,17.7,17.9,2157.0,41.0,26.0
1080,2.56,90.7,89.3,1014.0,3.15,3.65,3.5,3.73,14.6,8.1,2159.0,41.0,28.0
1081,2.24,89.1,98.5,876.0,4.59,4.31,3.56,4.82,6.2,7.5,2161.0,41.0,30.0
1082,2.23,72.0,92.5,1008.0,4.41,4.95,3.37,4.82,6.3,7.8,2163.0,41.0,32.0
1083,2.11,95.7,79.6,906.0,4.81,3.29,4.25,4.89,4.6,10.4,2165.0,41.0,34.0
1084,2.1,85.4,88.3,967.0,3.78,3.18,3.57,3.98,4.8,7.5,2167.0,41.0,36.0
1085,3.45,93.8,76.2,971.0,4.49,4.51,4.09,3.85,10.3,16.1,2169.0,41.0,38.0
1086,2.94,97.8,70.5,872.0,3.04,3.19,3.96,3.83,14.8,7.4,2171.0,41.0,40.0
1087,2.09,77.4,99.3,984.0,3.92,4.91,4.77,3.95,14.3,6.7,2173.0,41.0,42.0
1088,2.38,88.3,94.0,1033.0,4.04,4.14,4.61,4.45,17.5,3.8,2175.0,41.0,44.0
1089,3.35,93.4,71.8,986.0,4.77,3.59,3.65,3.23,16.6,4.1,2177.0,41.0,46.0
1090,2.33,99.7,99.3,1077.0,3.3,3.29,4.2,4.23,8.1,15.5,2179.0,41.0,48.0
1091,2.9,82.6,85.8,1059.0,4.09,4.89,3.89,4.99,10.6,10.0,2181.0,41.0,50.0
1092,3.26,86.4,99.5,971.0,4.31,3.03,3.47,3.21,15.6,7.6,2183.0,42.0,0.0
1093,3.26,95.6,91.8,849.0,3.88,4.33,3.85,3.11,3.3,9.8,2185.0,42.0,2.0
1094,2.94,88.8,83.8,951.0,4.24,4.32,3.97,3.89,13.7,13.7,2187.0,42.0,4.0
1095,3.14,94.5,90.8,945.0,3.43,3.55,3.46,3.67,15.0,3.7,2189.0,42.0,6.0
1096,2.5,88.5,87.1,836.0,4.3,4.48,3.06,4.09,17.2,8.6,2191.0,42.0,8.0
1097,3.03,91.8,99.2,1030.0,3.92,3.04,3.31,4.25,10.9,11.3,2193.0,42.0,10.0
1098,2.24,97.0,97.0,804.0,3.18,3.93,3.07,4.13,14.2,16.2,2195.0,42.0,12.0
1099,2.46,74.1,75.6,848.0,4.41,4.04,4.37,4.95,9.5,8.3,2197.0,42.0,14.0
1100,2.68,91.0,75.7,819.0,3.07,3.13,3.96,4.8,4.6,3.4,2199.0,42.0,16.0
1101,2.42,81.0,91.4,818.0,3.93,3.51,3.94,3.0,3.8,14.9,2201.0,42.0,18.0
1102,2.9,97.4,90.8,927.0,3.51,3.34,3.96,4.32,17.3,14.3,2203.0,42.0,20.0
1103,3.28,98.5,90.7,833.0,3.37,3.23,4.87,4.41,11.2,10.2,2205.0,42.0,22.0
1104,2.71,90.2,97.6,855.0,4.64,3.5,4.12,4.02,10.9,16.7,2207.0,42.0,24.0
1105,2.39,70.6,78.4,1085.0,3.27,4.62,3.09,3.35,12.6,17.8,2209.0,42.0,26.0
1106,2.76,71.5,90.4,1088.0,3.25,4.54,3.14,3.93,7.1,4.7,2211.0,42.0,28.0
1107,2.14,75.0,84.9,851.0,4.89,4.61,4.92,3.38,11.1,3.6,2213.0,42.0,30.0
1108,3.46,78.9,90.0,1007.0,4.31,3.1,3.25,3.77,3.6,13.4,2215.0,42.0,32.0
1109,2.21,70.3,72.2,1080.0,4.47,3.2,3.96,4.52,11.5,14.4,2217.0,42.0,34.0
1110,3.14,96.0,70.8,1051.0,4.56,4.84,3.04,4.56,15.9,13.4,2219.0,42.0,36.0
1111,2.93,96.4,99.4,910.0,4.71,3.64,3.36,3.53,16.5,15.0,2221.0,42.0,38.0
1112,2.11,93.2,70.5,836.0,4.73,3.56,3.08,3.94,4.2,10.8,2223.0,42.0,40.0
1113,2.09,74.2,70.0,1073.0,4.76,3.42,3.26,3.68,3.5,14.1,2225.0,42.0,42.0
1114,3.41,95.8,92.9,816.0,4.81,3.25,4.67,3.65,5.3,6.4,2227.0,42.0,44.0
1115,2.02,95.3,72.9,867.0,3.24,3.33,3.79,4.44,16.8,4.1,2229.0,42.0,46.0
1116,2.78,70.9,94.9,932.0,4.02,4.28,3.21,3.18,9.7,7.5,2231.0,42.0,48.0
1117,2.2,76.9,88.3,1086.0,3.3,3.59,4.98,3.9,17.0,7.7,2233.0,42.0,50.0
1118,2.05,72.5,98.9,807.0,4.58,3.18,4.91,3.77,10.8,3.3,2235.0,43.0,0.0
1119,2.44,82.1,91.1,1001.0,4.86,3.23,3.41,4.74,3.7,5.0,2237.0,43.0,2.0
1120,3.44,86.4,98.3,953.0,4.1,3.41,4.16,3.95,6.5,3.0,2239.0,43.0,4.0
1121,2.12,77.7,87.5,948.0,4.19,4.93,3.5,3.04,5.5,8.7,2241.0,43.0,6.0
1122,3.13,75.7,80.5,1016.0,4.94,3.61,3.86,3.73,17.1,15.4,2243.0,43.0,8.0
1123,3.08,92.6,96.3,964.0,3.85,3.76,4.94,4.09,9.5,3.6,2245.0,43.0,10.0
1124,2.72,71.6,81.4,1085.0,3.59,3.36,4.68,4.61,11.2,9.6,2247.0,43.0,12.0
1125,2.69,78.0,94.0,974.0,3.02,4.66,3.42,3.88,17.1,6.3,2249.0,43.0,14.0
1126,2.86,99.4,94.9,931.0,4.55,3.7,4.39,4.4,6.6,11.3,2251.0,43.0,16.0
1127,2.01,82.9,82.6,969.0,4.15,3.41,3.37,3.78,11.5,12.7,2253.0,43.0,18.0
1128,3.12,76.6,97.3,959.0,4.34,4.63,4.99,4.73,13.2,6.1,2255.0,43.0,20.0
1129,2.92,75.5,91.0,1088.0,4.6,4.15,3.85,3.08,13.3,12.1,2257.0,43.0,22.0
1130,3.39,77.9,81.4,946.0,4.76,4.1,4.08,4.45,5.4,11.8,2259.0,43.0,24.0
1131,2.74,89.1,94.6,913.0,3.28,3.47,3.29,3.03,6.7,15.0,2261.0,43.0,26.0
1132,2.86,72.3,98.1,835.0,4.45,4.06,4.1,4.06,6.1,10.4,2263.0,43.0,28.0
1133,3.22,90.1,86.3,867.0,4.69,3.26,3.4,4.45,12.4,14.6,2265.0,43.0,30.0
1134,2.49,77.2,93.0,1077.0,4.92,4.12,3.28,3.62,4.0,14.0,2267.0,43.0,32.0
1135,2.73,89.9,97.7,876.0,4.37,3.79,4.71,4.07,3.2,10.3,2269.0,43.0,34.0
1136,3.38,83.5,71.7,897.0,3.22,4.61,3.23,4.22,6.9,10.8,2271.0,43.0,36.0
1137,3.07,95.0,81.9,1057.0,4.67,4.29,4.52,3.53,13.1,15.1,2273.0,43.0,38.0
1138,2.65,85.9,86.1,904.0,4.62,3.58,4.91,3.43,4.9,10.6,2275.0,43.0,40.0
1139,2.22,82.1,78.2,955.0,4.39,3.28,4.12,4.54,16.9,6.3,2277.0,43.0,42.0
1140,2.4,78.0,70.0,1024.0,4.41,3.96,4.34,3.28,11.6,14.5,2279.0,43.0,44.0
1141,2.31,94.6,73.3,1021.0,4.56,3.23,3.82,4.44,16.7,9.7,2281.0,43.0,46.0
1142,2.61,97.2,92.6,849.0,4.24,3.95,3.51,3.89,10.1,16.4,2283.0,43.0,48.0
1143,2.83,73.6,96.5,1062.0,3.27,3.26,4.84,4.33,10.5,11.3,2285.0,43.0,50.0
1144,3.13,93.3,93.1,844.0,3.27,4.51,4.31,3.32,13.4,12.2,2287.0,44.0,0.0
1145,3.12,83.9,86.9,855.0,4.02,3.09,4.14,4.39,14.6,13.7,2289.0,44.0,2.0
1146,3.05,74.7,89.9,1064.0,4.83,4.28,3.68,3.44,17.0,6.9,2291.0,44.0,4.0
1147,3.31,76.9,93.9,1081.0,3.25,4.69,4.36,3.18,12.7,11.1,2293.0,44.0,6.0
1148,3.47,71.4,90.6,851.0,3.3,4.03,3.87,4.88,13.9,4.9,2295.0,44.0,8.0
1149,3.4,90.8,98.9,807.0,4.07,4.66,4.56,3.99,5.6,7.3,2297.0,44.0,10.0
1150,2.2,97.1,85.2,869.0,3.05,4.09,4.44,4.6,8.7,15.9,2299.0,44.0,12.0
1151,3.07,81.9,98.6,1028.0,3.16,4.95,3.34,4.53,11.8,7.3,2301.0,44.0,14.0
1152,3.28,85.3,95.5,972.0,3.33,4.93,4.37,3.05,7.0,15.7,2303.0,44.0,16.0
1153,2.29,84.9,98.2,1026.0,3.35,3.11,4.48,4.47,3.2,4.1,2305.0,44.0,18.0
1154,2.16,70.8,89.4,1020.0,3.67,4.14,4.62,4.24,13.3,14.9,2307.0,44.0,20.0
1155,2.37,83.5,85.8,915.0,3.13,4.45,3.72,4.91,14.2,16.7,2309.0,44.0,22.0
1156,2.3,86.5,72.0,1015.0,4.94,3.27,3.39,4.19,15.2,16.1,2311.0,44.0,24.0
1157,2.28,88.3,72.0,1012.0,3.78,3.94,3.03,3.27,9.4,5.8,2313.0,44.0,26.0
1158,3.47,79.9,89.3,1058.0,3.96,3.38,3.58,3.88,11.4,9.6,2315.0,44.0,28.0
1159,3.18,95.3,96.3,942.0,3.72,3.95,4.75,3.49,10.7,5.4,2317.0,44.0,30.0
1160,2.28,92.8,98.4,980.0,4.84,4.39,4.53,3.38,12.7,13.0,2319.0,44.0,32.0
1161,2.07,93.0,81.9,1073.0,3.63,3.52,4.45,3.44,4.1,5.0,2321.0,44.0,34.0
1162,2.38,89.5,87.7,955.0,4.99,4.42,4.36,4.76,16.8,7.3,2323.0,44.0,36.0
1163,2.76,75.3,75.2,883.0,4.47,4.31,4.41,4.0,13.1,15.8,2325.0,44.0,38.0
1164,3.05,73.0,87.3,1004.0,3.53,4.99,3.94,3.52,15.6,12.7,2327.0,44.0,40.0
1165,3.23,74.2,93.1,853.0,4.27,4.71,3.15,3.71,13.9,17.7,2329.0,44.0,42.0
1166,2.36,79.4,75.1,1073.0,4.27,4.33,3.18,3.54,6.7,11.8,2331.0,44.0,44.0
1167,2.92,88.6,98.2,851.0,3.91,3.75,4.76,3.57,6.1,15.0,2333.0,44.0,46.0
1168,2.72,94.2,84.1,1052.0,3.28,3.5,4.34,4.54,16.5,17.1,2335.0,44.0,48.0
1169,3.09,96.5,81.8,823.0,3.82,3.96,3.89,3.19,15.2,3.4,2337.0,44.0,50.0
1170,3.18,93.8,73.8,910.0,3.01,3.91,3.34,4.39,14.3,15.8,2339.0,45.0,0.0
1171,2.28,72.7,79.1,1046.0,4.51,3.82,3.36,4.17,9.2,14.7,2341.0,45.0,2.0
1172,2.0,74.6,76.8,1096.0,4.25,4.97,4.44,4.12,9.6,3.6,2343.0,45.0,4.0
1173,3.36,86.6,82.0,844.0,4.09,4.07,3.15,3.88,6.9,11.9,2345.0,45.0,6.0
1174,3.16,71.5,91.6,1094.0,4.73,4.74,4.8,3.01,3.1,11.9,2347.0,45.0,8.0
1175,2.7,86.2,88.0,1095.0,3.2,4.75,3.93,3.91,9.5,7.2,2349.0,45.0,10.0
1176,3.1,97.6,99.2,924.0,3.66,3.03,3.2,3.35,9.2,12.5,2351.0,45.0,12.0
1177,3.42,74.3,77.4,1041.0,4.06,4.51,3.78,3.5,14.2,9.7,2353.0,45.0,14.0
1178,2.78,97.9,91.6,810.0,3.6,3.81,3.88,3.12,6.3,6.5,2355.0,45.0,16.0
1179,2.54,78.3,87.5,1088.0,3.08,3.53,3.01,4.24,3.6,9.7,2357.0,45.0,18.0
1180,2.95,96.2,73.0,810.0,4.47,3.14,4.6,3.72,10.3,6.4,2359.0,45.0,20.0
1181,2.24,90.3,85.4,970.0,3.81,3.15,4.88,4.52,13.7,16.9,2361.0,45.0,22.0
1182,2.42,93.5,90.5,1015.0,4.54,4.86,4.83,3.91,8.0,6.8,2363.0,45.0,24.0
1183,2.44,93.2,80.5,981.0,3.96,3.22,4.86,3.29,5.0,3.2,2365.0,45.0,26.0
1184,2.21,97.9,92.2,1078.0,3.43,3.83,3.37,4.19,9.0,3.0,2367.0,45.0,28.0
1185,2.69,99.2,98.7,996.0,4.34,3.44,3.92,4.94,4.5,3.5,2369.0,45.0,30.0
1186,2.56,99.5,72.0,967.0,3.56,3.17,3.71,4.1,17.0,3.4,2371.0,45.0,32.0
1187,2.21,87.6,73.8,1024.0,4.55,4.84,4.1,4.75,6.2,11.7,2373.0,45.0,34.0
1188,3.3,85.9,84.9,876.0,3.18,3.37,3.72,4.49,5.6,4.6,2375.0,45.0,36.0
1189,2.42,74.2,83.5,1028.0,3.36,4.87,3.25,4.53,12.5,8.1,2377.0,45.0,38.0
1190,2.0,75.5,72.4,840.0,3.96,4.27,3.01,3.29,15.5,14.9,2379.0,45.0,40.0
1191,2.87,77.1,71.6,944.0,4.27,4.42,3.21,4.56,15.0,13.3,2381.0,45.0,42.0
1192,3.17,87.9,94.2,952.0,3.48,3.73,3.85,3.35,3.8,14.4,2383.0,45.0,44.0
1193,2.42,86.7,95.0,1066.0,4.54,4.33,3.02,4.2,5.9,15.9,2385.0,45.0,46.0
1194,3.21,73.6,79.6,969.0,4.88,4.81,4.65,3.12,4.4,6.3,2387.0,45.0,48.0
1195,3.27,83.2,82.3,893.0,4.24,3.89,4.67,3.84,4.4,6.3,2389.0,45.0,50.0
1196,2.97,92.9,99.3,932.0,3.16,4.38,3.88,4.98,10.9,11.8,2391.0,46.0,0.0
1197,2.26,96.2,74.5,1029.0,3.24,4.74,4.5,4.8,13.3,15.9,2393.0,46.0,2.0
1198,3.03,76.1,88.3,1082.0,4.73,4.2,3.94,3.44,3.2,13.3,2395.0,46.0,4.0
1199,2.13,99.1,85.1,989.0,3.04,3.34,3.98,4.16,8.0,5.1,2397.0,46.0,6.0
1200,3.03,85.2,95.7,968.0,4.87,3.15,3.05,3.2,17.7,8.4,2399.0,46.0,8.0
1201,2.98,92.5,77.7,901.0,4.93,4.12,4.84,4.86,8.8,8.9,2401.0,46.0,10.0
1202,2.25,86.5,85.8,1034.0,4.77,3.65,4.39,4.22,16.7,16.4,2403.0,46.0,12.0
1203,2.95,73.7,78.9,986.0,3.41,3.86,4.66,4.16,4.5,14.6,2405.0,46.0,14.0
1204,3.22,88.6,87.1,920.0,3.08,3.88,4.49,3.27,14.7,12.1,2407.0,46.0,16.0
1205,2.49,93.0,81.6,867.0,3.24,4.2,3.21,3.17,16.0,11.8,2409.0,46.0,18.0
1206,2.7,70.6,86.1,1095.0,4.36,4.65,3.41,3.97,9.8,11.0,2411.0,46.0,20.0
1207,2.69,90.4,86.9,997.0,3.39,4.43,3.55,4.23,10.4,11.4,2413.0,46.0,22.0
1208,2.43,86.4,78.4,941.0,4.2,4.92,4.79,3.92,16.3,15.1,2415.0,46.0,24.0
1209,2.65,79.6,77.9,860.0,3.83,3.14,4.02,3.01,12.6,6.9,2417.0,46.0,26.0
1210,2.78,75.0,70.5,897.0,4.01,4.0,4.72,4.21,8.8,9.9,2419.0,46.0,28.0
1211,2.9,83.3,96.5,923.0,4.55,4.98,4.33,3.53,6.3,12.3,2421.0,46.0,30.0
1212,2.96,96.7,97.9,929.0,4.19,3.64,4.4,4.56,3.6,5.2,2423.0,46.0,32.0
1213,2.15,85.6,89.2,807.0,3.9,4.07,3.53,3.27,16.9,12.1,2425.0,46.0,34.0
1214,3.38,98.5,82.6,818.0,3.32,3.5,4.13,3.37,17.4,16.3,2427.0,46.0,36.0
1215,2.12,86.4,77.6,1098.0,3.16,3.89,4.34,4.58,8.6,17.1,2429.0,46.0,38.0
1216,3.3,98.3,84.2,1091.0,3.01,4.73,3.14,3.91,5.8,13.5,2431.0,46.0,40.0
1217,2.04,99.1,88.0,978.0,4.24,4.57,4.02,3.02,12.6,12.3,2433.0,46.0,42.0
1218,3.07,94.5,96.6,964.0,4.17,4.36,3.04,4.45,6.7,5.1,2435.0,46.0,44.0
1219,2.45,79.9,93.5,1039.0,4.32,4.61,3.67,3.51,16.6,12.3,2437.0,46.0,46.0
1220,3.45,73.3,80.2,820.0,3.89,3.55,3.74,4.2,9.7,6.8,2439.0,46.0,48.0
1221,3.01,84.2,75.5,972.0,3.81,4.66,3.44,4.06,8.0,10.6,2441.0,46.0,50.0
1222,2.27,84.8,89.0,1055.0,3.32,4.22,4.39,4.17,6.9,4.5,2443.0,47.0,0.0
1223,2.92,72.3,90.3,875.0,3.36,4.54,4.77,4.07,9.8,6.2,2445.0,47.0,2.0
1224,2.27,73.2,88.5,817.0,3.41,3.77,4.96,4.74,6.4,11.6,2447.0,47.0,4.0
1225,2.95,80.1,92.8,960.0,4.33,4.19,4.06,3.58,9.6,16.1,2449.0,47.0,6.0
1226,3.22,78.9,75.5,818.0,4.1,3.39,4.88,4.27,16.6,14.8,2451.0,47.0,8.0
1227,3.46,88.8,88.8,800.0,4.96,4.0,3.87,3.88,16.2,8.5,2453.0,47.0,10.0
1228,3.45,72.0,73.2,1095.0,4.69,3.28,3.9,3.69,16.5,12.0,2455.0,47.0,12.0
1229,2.95,76.5,86.6,863.0,3.96,4.81,3.22,4.4,17.6,14.5,2457.0,47.0,14.0
1230,2.92,89.7,88.7,1056.0,3.02,3.5,3.56,4.09,3.2,15.7,2459.0,47.0,16.0
1231,3.35,99.8,76.0,849.0,4.45,4.66,4.07,3.97,12.0,7.6,2461.0,47.0,18.0
1232,3.49,97.9,82.6,919.0,3.33,4.28,3.2,3.01,5.1,10.2,2463.0,47.0,20.0
1233,3.44,84.3,85.3,820.0,4.83,3.56,3.99,4.06,11.5,10.7,2465.0,47.0,22.0
1234,2.16,92.2,80.2,1057.0,4.91,4.45,4.68,4.7,10.9,11.2,2467.0,47.0,24.0
1235,2.91,98.9,84.5,828.0,3.84,3.75,4.55,4.77,16.1,8.8,2469.0,47.0,26.0
1236,3.1,75.5,78.6,831.0,3.57,4.95,4.0,3.31,4.6,15.1,2471.0,47.0,28.0
1237,2.15,92.5,83.2,1003.0,4.38,4.17,3.8,3.86,11.7,5.1,2473.0,47.0,30.0
1238,2.57,88.8,78.0,991.0,3.52,3.61,4.42,4.01,13.7,11.4,2475.0,47.0,32.0
1239,2.74,73.0,78.3,901.0,4.47,4.45,4.19,3.14,8.3,8.4,2477.0,47.0,34.0
1240,2.92,73.6,80.8,888.0,3.93,3.58,4.17,3.05,14.8,12.3,2479.0,47.0,36.0
1241,2.06,94.8,96.8,839.0,4.01,4.24,4.11,4.5,6.7,7.7,2481.0,47.0,38.0
1242,3.12,86.0,96.1,979.0,3.59,3.2,4.24,4.77,7.9,3.2,2483.0,47.0,40.0
1243,2.23,98.4,75.7,810.0,3.6,3.54,3.75,4.82,4.6,12.7,2485.0,47.0,42.0
1244,3.1,80.3,75.0,849.0,4.13,3.93,4.82,3.51,9.3,12.6,2487.0,47.0,44.0
1245,2.52,97.0,73.9,970.0,3.84,3.88,3.51,4.09,12.4,5.5,2489.0,47.0,46.0
1246,3.28,71.6,84.6,1009.0,4.93,4.61,3.81,3.07,10.3,7.0,2491.0,47.0,48.0
1247,2.66,85.8,92.9,1047.0,4.12,4.65,3.6,4.72,12.1,11.5,2493.0,47.0,50.0
1248,2.51,92.9,90.7,828.0,3.31,3.06,4.95,3.57,3.2,9.5,2495.0,48.0,0.0
1249,3.27,75.5,91.7,949.0,4.5,3.37,4.8,4.57,5.4,12.7,2497.0,48.0,2.0
1250,3.39,96.5,81.7,1077.0,4.93,3.3,3.87,4.05,15.6,13.4,2499.0,48.0,4.0
1251,2.06,85.2,91.0,890.0,3.26,4.24,4.98,3.37,9.4,10.5,2501.0,48.0,6.0
1252,2.08,78.8,77.0,1021.0,3.87,4.64,4.83,3.1,4.0,3.9,2503.0,48.0,8.0
1253,2.68,76.8,86.6,1075.0,3.84,4.17,3.97,4.95,11.6,13.6,2505.0,48.0,10.0
1254,2.62,78.2,76.9,862.0,3.48,4.36,3.65,4.95,10.1,12.5,2507.0,48.0,12.0
1255,3.31,80.3,86.2,1051.0,3.89,4.22,4.06,3.83,4.2,3.8,2509.0,48.0,14.0
1256,2.22,74.2,92.4,942.0,3.19,3.09,4.96,3.99,11.5,7.1,2511.0,48.0,16.0
